Time_s,Current_A,V_measured_V,V_estimated_V,OCV_V,SOC_estimated,R0_Ohm,Up_RC_V,V_error_V,SOC_actual,SOC_error_percent
12934.468,-2.0000000000000002e-07,3.136,3.164804297282051,3.2329999994310934,0.0,0.100081217,0.06825406999218168,-0.028804297282051028,0.0247,2.4699999999999998
12935.459,2.0000000000000002e-07,3.136,3.164852388773191,3.233000000568907,0.0,0.100081217,0.06820613853895402,-0.028852388773191073,0.0247,2.4699999999999998
12936.466,-2.0000000000000002e-07,3.136,3.1649002030010176,3.2329999994310934,0.0,0.100081217,0.06815840145073238,-0.028900203001017477,0.0247,2.4699999999999998
12937.458,1.0000000000000001e-07,3.136,3.164947897506234,3.2330000002844534,0.0,0.100081217,0.06811085589439256,-0.028947897506233833,0.0247,2.4699999999999998
12938.463,1.0000000000000001e-07,3.136,3.16499536891855,3.2330000002844534,0.0,0.100081217,0.06806350210424619,-0.028995368918550035,0.0247,2.4699999999999998
12939.455,5e-07,3.136,3.165042691343318,3.233000001422267,0.0,0.100081217,0.06801633817284498,-0.029042691343317717,0.0247,2.4699999999999998
12940.461,-1.0000000000000001e-07,3.132,3.1650897180064153,3.2329999997155467,0.0,0.100081217,0.0679774923444126,-0.033089718006415136,0.0247,2.4699999999999998
12941.465,1.0000000000000001e-07,3.136,3.1651285244972507,3.2330000002844534,0.0,0.100081217,0.06793068059690012,-0.029128524497250563,0.0247,2.4699999999999998
12942.457,-1.0000000000000001e-07,3.136,3.1651752420052643,3.2329999997155467,0.0,0.100081217,0.06788405859965978,-0.029175242005264224,0.0247,2.4699999999999998
12943.462,1.0000000000000001e-07,3.136,3.165221812538508,3.2330000002844534,0.0,0.100081217,0.06783762445050796,-0.029221812538507752,0.0247,2.4699999999999998
12944.454,0.0,3.14,3.1652681636568993,3.233,0.0,0.100081217,0.06778324094424652,-0.025268163656899212,0.0247,2.4699999999999998
12945.462,0.0,3.136,3.165322462355825,3.233,0.0,0.100081217,0.06773721122406934,-0.029322462355824808,0.0247,2.4699999999999998
12946.468,1.0000000000000001e-07,3.136,3.1653684309157204,3.2330000002844534,0.0,0.100081217,0.06769136754001141,-0.02936843091572028,0.0247,2.4699999999999998
12947.462,1.0000000000000001e-07,3.136,3.165414203109708,3.2330000002844534,0.0,0.100081217,0.06764570952977245,-0.02941420310970777,0.0247,2.4699999999999998
12948.467,3e-07,3.136,3.165459811159221,3.23300000085336,0.0,0.100081217,0.0676002359147631,-0.029459811159220806,0.0247,2.4699999999999998
12949.46,0.0,3.136,3.1655051820015574,3.233,0.0,0.100081217,0.06755494756031273,-0.029505182001557273,0.0247,2.4699999999999998
12950.466,1.0000000000000001e-07,3.14,3.1655504103518353,3.2330000002844534,0.0,0.100081217,0.06750168801863643,-0.02555041035183514,0.0247,2.4699999999999998
12951.459,-1.0000000000000001e-07,3.14,3.1656035655991213,3.2329999997155467,0.0,0.100081217,0.0674486386046199,-0.025603565599121136,0.0247,2.4699999999999998
12952.467,1.0000000000000001e-07,3.14,3.1656565535260266,3.2330000002844534,0.0,0.100081217,0.0673957973586931,-0.02565655352602647,0.0247,2.4699999999999998
12953.457,0.0,3.14,3.1657093017497666,3.233,0.0,0.100081217,0.06734316446737294,-0.02570930174976649,0.0247,2.4699999999999998
12954.464,1.0000000000000001e-07,3.14,3.165761863183614,3.2330000002844534,0.0,0.100081217,0.06729073858760741,-0.025761863183614064,0.0247,2.4699999999999998
12955.454,-1.0000000000000001e-07,3.14,3.1658141860690283,3.2329999997155467,0.0,0.100081217,0.06723851990880346,-0.02581418606902819,0.0247,2.4699999999999998
12956.463,-1.0000000000000001e-07,3.14,3.1658663233163957,3.2329999997155467,0.0,0.100081217,0.0671865070908724,-0.0258663233163956,0.0247,2.4699999999999998
12957.455,-2.0000000000000002e-07,3.136,3.165918244404017,3.2329999994310934,0.0,0.100081217,0.06714287383394744,-0.029918244404016914,0.0247,2.4699999999999998
12958.464,0.0,3.14,3.1659618308576793,3.233,0.0,0.100081217,0.0670912408287414,-0.025961830857679224,0.0247,2.4699999999999998
12959.455,0.0,3.14,3.1660133833447666,3.233,0.0,0.100081217,0.06703981161823776,-0.02601338334476644,0.0247,2.4699999999999998
12960.461,0.0,3.14,3.1660647323549553,3.233,0.0,0.100081217,0.06698858548361356,-0.02606473235495521,0.0247,2.4699999999999998
12961.468,1.0000000000000001e-07,3.14,3.166115889225847,3.2330000002844534,0.0,0.100081217,0.06693756140246777,-0.026115889225847067,0.0247,2.4699999999999998
12962.457,1.0000000000000001e-07,3.14,3.1661668337384494,3.2330000002844534,0.0,0.100081217,0.06688673896670785,-0.026166833738449302,0.0247,2.4699999999999998
