Time_s,V_measured_V,V_estimated_V,SOC_estimated,V_error_V,SOC_actual,SOC_error_percent
40039.065,3.956,3.9519666121292922,0.6646543816957159,0.0040333878707077275,0.6779999999999999,-1.3345618304284046
40040.065,3.948,3.952161067824752,0.6645198855600842,-0.004161067824751896,0.6779999999999999,-1.3480114439915702
40041.065,3.948,3.9518907996038286,0.6643884002784228,-0.003890799603828654,0.6779999999999999,-1.3611599721577106
40042.066,3.948,3.951856232879325,0.6642574148248052,-0.0038562328793250167,0.6779999999999999,-1.3742585175194777
40043.066,3.948,3.9517093327468125,0.6641281493756008,-0.0037093327468125104,0.6779999999999999,-1.3871850624399107
40044.066,3.952,3.9515669357777656,0.6640520796371737,0.00043306422223432506,0.6779999999999999,-1.3947920362826216
40045.066,3.948,3.9515445587738744,0.6639248004258421,-0.0035445587738744955,0.6779999999999999,-1.4075199574157815
40046.067,3.948,3.9514071356324205,0.663799162575374,-0.003407135632420566,0.6779999999999999,-1.4200837424625967
40047.076,3.952,3.951273920666133,0.663726916100836,0.0007260793338668137,0.6779999999999999,-1.427308389916393
40048.076,3.956,3.9512604637665167,0.6637065875611228,0.004739536233483221,0.6779999999999999,-1.4293412438877162
40049.073,3.948,3.9512489933761468,0.6635828380751562,-0.0032489933761468137,0.677,-1.341716192484388
40050.087,3.948,3.9512337790929815,0.6634594058001558,-0.0032337790929815036,0.677,-1.3540594199844214
40051.081,3.948,3.95110562992642,0.6633375271322495,-0.0031056299264200504,0.677,-1.3662472867750575
40052.093,3.952,3.9509813998230903,0.6632691071943558,0.0010186001769096897,0.677,-1.3730892805644213
40053.089,3.948,3.9509766646719924,0.6631488465261913,-0.002976664671992424,0.677,-1.385115347380872
40054.098,3.948,3.9508562904941154,0.6630300650744527,-0.002856290494115399,0.677,-1.3969934925547323
40055.088,3.948,3.9507395928971247,0.662912727575128,-0.0027395928971247763,0.677,-1.4087272424872066
40056.102,3.956,3.950512443078462,0.6629024754970257,0.005487556921537795,0.677,-1.4097524502974301
40057.091,3.952,3.950751083429571,0.6628370541030254,0.001248916570428804,0.677,-1.4162945896974644
40058.092,3.952,3.9507531152825095,0.6627715872340406,0.0012468847174904596,0.677,-1.422841276595943
40059.094,3.944,3.9507549905393926,0.6626023862278537,-0.006754990539392658,0.677,-1.4397613772146323
40060.096,3.952,3.950525311206099,0.6625399538001157,0.0014746887939010023,0.677,-1.446004619988439
40061.107,3.952,3.9504201416665614,0.6624786301706219,0.001579858333438544,0.6759999999999999,-1.3521369829378016
40062.105,3.948,3.9505454970836595,0.6623639131655102,-0.002545497083659587,0.6759999999999999,-1.3636086834489691
40063.105,3.948,3.950437808672946,0.6622505371058842,-0.0024378086729459625,0.6759999999999999,-1.3749462894115716
40064.117,3.952,3.9503334005155195,0.6621906188560447,0.0016665994844804466,0.6759999999999999,-1.3809381143955246
40065.114,3.948,3.950347897434374,0.6620784100059276,-0.0023478974343742465,0.6759999999999999,-1.3921589994072336
40066.109,3.948,3.9502461234788657,0.6619674785768753,-0.002246123478865769,0.6759999999999999,-1.403252142312461
