[2026-01-21 19:10:55.790] 4.204V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:56.797] 3.828V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:57.802] 4.164V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:58.804] 4.172V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:59.797] 3.772V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:11:00.796] 3.968V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:11:01.800] 3.520V | 584.5mA | 0.16/120mAh | 0.16mAh_total | Status: CHARGING
[2026-01-21 19:11:02.806] 3.508V | 584.0mA | 0.33/120mAh | 0.33mAh_total | Status: CHARGING
[2026-01-21 19:11:03.806] 3.524V | 585.0mA | 0.49/120mAh | 0.49mAh_total | Status: CHARGING
[2026-01-21 19:11:04.811] 3.524V | 584.5mA | 0.65/120mAh | 0.65mAh_total | Status: CHARGING
[2026-01-21 19:11:05.812] 3.528V | 584.6mA | 0.81/120mAh | 0.81mAh_total | Status: CHARGING
[2026-01-21 19:11:06.814] 3.528V | 584.7mA | 0.98/120mAh | 0.98mAh_total | Status: CHARGING
[2026-01-21 19:11:07.816] 3.532V | 584.6mA | 1.14/120mAh | 1.14mAh_total | Status: CHARGING
[2026-01-21 19:11:08.815] 3.532V | 584.6mA | 1.30/120mAh | 1.30mAh_total | Status: CHARGING
[2026-01-21 19:11:09.825] 3.540V | 584.7mA | 1.46/120mAh | 1.46mAh_total | Status: CHARGING
[2026-01-21 19:11:10.827] 3.536V | 583.7mA | 1.63/120mAh | 1.63mAh_total | Status: CHARGING
[2026-01-21 19:11:11.831] 3.532V | 584.1mA | 1.79/120mAh | 1.79mAh_total | Status: CHARGING
[2026-01-21 19:11:12.822] 3.536V | 584.6mA | 1.95/120mAh | 1.95mAh_total | Status: CHARGING
[2026-01-21 19:11:13.830] 3.540V | 584.6mA | 2.12/120mAh | 2.12mAh_total | Status: CHARGING
[2026-01-21 19:11:14.822] 3.536V | 584.1mA | 2.28/120mAh | 2.28mAh_total | Status: CHARGING
[2026-01-21 19:11:15.826] 3.544V | 584.0mA | 2.44/120mAh | 2.44mAh_total | Status: CHARGING
[2026-01-21 19:11:16.829] 3.548V | 583.8mA | 2.60/120mAh | 2.60mAh_total | Status: CHARGING
[2026-01-21 19:11:17.830] 3.548V | 583.9mA | 2.77/120mAh | 2.77mAh_total | Status: CHARGING
[2026-01-21 19:11:18.843] 3.552V | 584.0mA | 2.93/120mAh | 2.93mAh_total | Status: CHARGING
[2026-01-21 19:11:19.841] 3.552V | 583.8mA | 3.09/120mAh | 3.09mAh_total | Status: CHARGING
[2026-01-21 19:11:20.845] 3.552V | 583.9mA | 3.25/120mAh | 3.25mAh_total | Status: CHARGING
[2026-01-21 19:11:21.844] 3.552V | 583.8mA | 3.42/120mAh | 3.42mAh_total | Status: CHARGING
[2026-01-21 19:11:22.851] 3.560V | 583.6mA | 3.58/120mAh | 3.58mAh_total | Status: CHARGING
[2026-01-21 19:11:23.843] 3.560V | 583.4mA | 3.74/120mAh | 3.74mAh_total | Status: CHARGING
[2026-01-21 19:11:24.847] 3.564V | 583.9mA | 3.90/120mAh | 3.90mAh_total | Status: CHARGING
[2026-01-21 19:11:25.846] 3.564V | 583.9mA | 4.07/120mAh | 4.07mAh_total | Status: CHARGING
[2026-01-21 19:11:26.852] 3.564V | 584.0mA | 4.23/120mAh | 4.23mAh_total | Status: CHARGING
[2026-01-21 19:11:27.851] 3.568V | 583.9mA | 4.39/120mAh | 4.39mAh_total | Status: CHARGING
[2026-01-21 19:11:28.856] 3.568V | 583.3mA | 4.55/120mAh | 4.55mAh_total | Status: CHARGING
[2026-01-21 19:11:29.866] 3.568V | 583.8mA | 4.72/120mAh | 4.72mAh_total | Status: CHARGING
[2026-01-21 19:11:30.864] 3.572V | 583.7mA | 4.88/120mAh | 4.88mAh_total | Status: CHARGING
[2026-01-21 19:11:31.858] 3.572V | 583.6mA | 5.04/120mAh | 5.04mAh_total | Status: CHARGING
[2026-01-21 19:11:32.862] 3.572V | 583.7mA | 5.20/120mAh | 5.20mAh_total | Status: CHARGING
[2026-01-21 19:11:33.862] 3.572V | 583.7mA | 5.37/120mAh | 5.37mAh_total | Status: CHARGING
[2026-01-21 19:11:34.863] 3.580V | 583.7mA | 5.53/120mAh | 5.53mAh_total | Status: CHARGING
[2026-01-21 19:11:35.880] 3.580V | 583.8mA | 5.69/120mAh | 5.69mAh_total | Status: CHARGING
[2026-01-21 19:11:36.879] 3.576V | 583.4mA | 5.85/120mAh | 5.85mAh_total | Status: CHARGING
[2026-01-21 19:11:37.879] 3.584V | 583.3mA | 6.01/120mAh | 6.01mAh_total | Status: CHARGING
[2026-01-21 19:11:38.883] 3.580V | 583.7mA | 6.18/120mAh | 6.18mAh_total | Status: CHARGING
[2026-01-21 19:11:39.879] 3.580V | 583.5mA | 6.34/120mAh | 6.34mAh_total | Status: CHARGING
[2026-01-21 19:11:40.875] 3.588V | 583.3mA | 6.50/120mAh | 6.50mAh_total | Status: CHARGING
[2026-01-21 19:11:41.879] 3.584V | 583.8mA | 6.66/120mAh | 6.66mAh_total | Status: CHARGING
[2026-01-21 19:11:42.880] 3.584V | 583.5mA | 6.83/120mAh | 6.83mAh_total | Status: CHARGING
[2026-01-21 19:11:43.881] 3.588V | 583.3mA | 6.99/120mAh | 6.99mAh_total | Status: CHARGING
[2026-01-21 19:11:44.896] 3.588V | 583.5mA | 7.15/120mAh | 7.15mAh_total | Status: CHARGING
[2026-01-21 19:11:45.897] 3.588V | 583.6mA | 7.31/120mAh | 7.31mAh_total | Status: CHARGING
[2026-01-21 19:11:46.897] 3.592V | 583.7mA | 7.48/120mAh | 7.48mAh_total | Status: CHARGING
[2026-01-21 19:11:47.902] 3.596V | 583.4mA | 7.64/120mAh | 7.64mAh_total | Status: CHARGING
[2026-01-21 19:11:48.898] 3.596V | 583.0mA | 7.80/120mAh | 7.80mAh_total | Status: CHARGING
[2026-01-21 19:11:49.902] 3.596V | 583.1mA | 7.96/120mAh | 7.96mAh_total | Status: CHARGING
[2026-01-21 19:11:50.898] 3.600V | 583.1mA | 8.13/120mAh | 8.13mAh_total | Status: CHARGING
[2026-01-21 19:11:51.902] 3.592V | 583.4mA | 8.29/120mAh | 8.29mAh_total | Status: CHARGING
[2026-01-21 19:11:52.907] 3.604V | 583.6mA | 8.45/120mAh | 8.45mAh_total | Status: CHARGING
[2026-01-21 19:11:53.911] 3.600V | 583.7mA | 8.61/120mAh | 8.61mAh_total | Status: CHARGING
[2026-01-21 19:11:54.916] 3.600V | 583.3mA | 8.78/120mAh | 8.78mAh_total | Status: CHARGING
[2026-01-21 19:11:55.905] 3.600V | 583.3mA | 8.94/120mAh | 8.94mAh_total | Status: CHARGING
