time_s,voltage_V,current_A,soc_thuc,,,,,
43448.117,3.268,-0.1,-0.006235,,,,,-1207.482
43449.12,3.272,-0.1,-0.006235,,,,,-1207.482
43450.121,3.268,-0.1,-0.006235,,,,,-1207.482
43451.119,3.268,0,-0.006235,,,,,-1207.482
43452.122,3.268,0,-0.006235,,,,,-1207.482
43453.122,3.268,0,-0.006235,,,,,-1207.482
43454.123,3.268,-0.1,-0.006235,,,,,-1207.482
43455.121,3.272,0.3,-0.006235,,,,,-1207.482
43456.125,3.272,0.1,-0.006235,,,,,-1207.482
43457.113,3.268,0,-0.006235,,,,,-1207.482
43458.114,3.268,0.1,-0.006235,,,,,-1207.482
43459.116,3.268,0,-0.006235,,,,,-1207.482
43460.119,3.268,0.1,-0.006235,,,,,-1207.482
43461.123,3.268,0.1,-0.006235,,,,,-1207.482
43462.126,3.268,0,-0.006235,,,,,-1207.482
43463.126,3.268,0.2,-0.006235,,,,,-1207.482
43464.113,3.268,-0.2,-0.006235,,,,,-1207.482
43465.117,3.268,-0.1,-0.006235,,,,,-1207.482
43466.118,3.272,-0.1,-0.006235,,,,,-1207.482
43467.12,3.268,0.2,-0.006235,,,,,-1207.482
43468.123,3.272,0,-0.006235,,,,,-1207.482
43469.126,3.268,0.1,-0.006235,,,,,-1207.482
43470.113,3.268,0,-0.006235,,,,,-1207.482
43471.115,3.268,0.2,-0.006235,,,,,-1207.482
43472.121,3.268,0,-0.006235,,,,,-1207.482
43473.124,3.268,0.1,-0.006235,,,,,-1207.482
43474.125,3.272,-0.2,-0.006235,,,,,-1207.482
43475.115,3.272,-0.2,-0.006235,,,,,-1207.482
43476.114,3.272,0,-0.006235,,,,,-1207.482
43477.118,3.272,-0.1,-0.006235,,,,,-1207.482
43478.119,3.268,-0.1,-0.006235,,,,,-1207.482
43479.121,3.272,0.1,-0.006235,,,,,-1207.482
43480.12,3.268,0,-0.006235,,,,,-1207.482
43481.12,3.272,-0.2,-0.006235,,,,,-1207.482
43482.126,3.272,0,-0.006235,,,,,-1207.482
43483.126,3.272,0.1,-0.006235,,,,,-1207.482
43484.124,3.268,-0.1,-0.006235,,,,,-1207.482
43485.112,3.268,-0.1,-0.006235,,,,,-1207.482
43486.115,3.268,0.1,-0.006235,,,,,-1207.482
43487.119,3.272,0.1,-0.006235,,,,,-1207.482
43488.116,3.268,0.1,-0.006235,,,,,-1207.482
43489.111,3.268,-0.1,-0.006235,,,,,-1207.482
43490.123,3.268,0.3,-0.006235,,,,,-1207.482
43491.121,3.272,-0.1,-0.006235,,,,,-1207.482
43492.119,3.272,-0.2,-0.006235,,,,,-1207.482
43493.112,3.272,-0.2,-0.006235,,,,,-1207.482
43494.112,3.268,0.1,-0.006235,,,,,-1207.482
43495.113,3.272,0.1,-0.006235,,,,,-1207.482
43496.111,3.272,0,-0.006235,,,,,-1207.482
43497.113,3.268,-0.1,-0.006235,,,,,-1207.482
43498.114,3.272,0.1,-0.006235,,,,,-1207.482
43499.117,3.264,0,-0.006235,,,,,-1207.482
43500.117,3.268,0,-0.006235,,,,,-1207.482
43501.118,3.268,0.2,-0.006235,,,,,-1207.482
43502.118,3.264,0,-0.006235,,,,,-1207.482
43503.124,3.268,0,-0.006235,,,,,-1207.482
43504.125,3.272,0.1,-0.006235,,,,,-1207.482
43505.111,3.272,-0.1,-0.006235,,,,,-1207.482
43506.112,3.272,0.1,-0.006235,,,,,-1207.482
43507.111,3.272,-0.2,-0.006235,,,,,-1207.482
43508.113,3.268,0,-0.006235,,,,,-1207.482
43509.116,3.272,-0.2,-0.006235,,,,,-1207.482
43510.119,3.268,-0.2,-0.006235,,,,,-1207.482
43511.119,3.272,0,-0.006235,,,,,-1207.482
43512.121,3.272,0.1,-0.006235,,,,,-1207.482
43513.125,3.268,-0.1,-0.006235,,,,,-1207.482
43514.112,3.268,-0.1,-0.006235,,,,,-1207.482
43515.116,3.272,0.2,-0.006235,,,,,-1207.482
43516.115,3.268,0.1,-0.006235,,,,,-1207.482
43517.112,3.268,-0.1,-0.006235,,,,,-1207.482
43518.112,3.272,-0.3,-0.006235,,,,,-1207.482
43519.113,3.272,0.2,-0.006235,,,,,-1207.482
43520.114,3.272,-0.1,-0.006235,,,,,-1207.482
43521.122,3.272,0.1,-0.006235,,,,,-1207.482
43522.123,3.272,0.1,-0.006235,,,,,-1207.482
43523.112,3.272,0,-0.006235,,,,,-1207.482
43524.118,3.268,-0.1,-0.006235,,,,,-1207.482
43525.122,3.272,0.2,-0.006235,,,,,-1207.482
43526.125,3.272,0,-0.006235,,,,,-1207.482
43527.113,3.272,0.2,-0.006235,,,,,-1207.482
43528.114,3.268,-0.2,-0.006235,,,,,-1207.482
43529.116,3.268,-0.2,-0.006235,,,,,-1207.482
43530.118,3.268,0,-0.006235,,,,,-1207.482
43531.117,3.268,-0.2,-0.006235,,,,,-1207.482
43532.123,3.272,0,-0.006235,,,,,-1207.482
43533.112,3.272,0.1,-0.006235,,,,,-1207.482
43534.112,3.272,-0.2,-0.006235,,,,,-1207.482
43535.113,3.268,0.1,-0.006235,,,,,-1207.482
43536.118,3.272,0.2,-0.006235,,,,,-1207.482
43537.122,3.272,-0.2,-0.006235,,,,,-1207.482
43538.119,3.272,-0.2,-0.006235,,,,,-1207.482
43539.118,3.276,0.1,-0.006235,,,,,-1207.482
43540.12,3.268,0,-0.006235,,,,,-1207.482
43541.122,3.272,0.1,-0.006235,,,,,-1207.482
43542.122,3.272,-0.1,-0.006235,,,,,-1207.482
43543.109,3.268,-0.2,-0.006235,,,,,-1207.482
43544.115,3.272,-0.1,-0.006235,,,,,-1207.482
43545.116,3.272,0,-0.006235,,,,,-1207.482
43546.118,3.268,0,-0.006235,,,,,-1207.482
43547.122,3.272,0,-0.006235,,,,,-1207.482
43548.124,3.268,0,-0.006235,,,,,-1207.482
43549.112,3.268,-0.1,-0.006235,,,,,-1207.482
43550.113,3.272,-0.1,-0.006235,,,,,-1207.482
43551.119,3.272,0.1,-0.006235,,,,,-1207.482
43552.118,3.268,-0.2,-0.006235,,,,,-1207.482
43553.123,3.272,0,-0.006235,,,,,-1207.482
43554.123,3.268,0.1,-0.006235,,,,,-1207.482
43555.114,3.268,0.2,-0.006235,,,,,-1207.482
43556.115,3.272,0.2,-0.006235,,,,,-1207.482
43557.117,3.272,0,-0.006235,,,,,-1207.482
43558.119,3.268,0,-0.006235,,,,,-1207.482
43559.124,3.268,0,-0.006235,,,,,-1207.482
43560.109,3.268,0,-0.006235,,,,,-1207.482
43561.112,3.272,-0.1,-0.006235,,,,,-1207.482
43562.112,3.272,0.2,-0.006235,,,,,-1207.482
43563.116,3.272,-0.3,-0.006235,,,,,-1207.482
43564.12,3.272,0,-0.006235,,,,,-1207.482
43565.121,3.272,0.1,-0.006235,,,,,-1207.482
43566.123,3.268,-0.2,-0.006235,,,,,-1207.482
43567.109,3.268,0.1,-0.006235,,,,,-1207.482
43568.111,3.268,0.1,-0.006235,,,,,-1207.482
43569.112,3.272,0.1,-0.006235,,,,,-1207.482
43570.112,3.272,0.2,-0.006235,,,,,-1207.482
43571.113,3.268,0.1,-0.006235,,,,,-1207.482
43572.115,3.272,0.1,-0.006235,,,,,-1207.482
43573.113,3.272,0,-0.006235,,,,,-1207.482
43574.118,3.272,-0.2,-0.006235,,,,,-1207.482
43575.116,3.268,0.2,-0.006235,,,,,-1207.482
43576.121,3.276,0.1,-0.006235,,,,,-1207.482
43577.121,3.268,0,-0.006235,,,,,-1207.482
43578.121,3.268,-0.2,-0.006235,,,,,-1207.482
43579.109,3.272,0.2,-0.006235,,,,,-1207.482
43580.114,3.272,-0.1,-0.006235,,,,,-1207.482
43581.119,3.268,0.1,-0.006235,,,,,-1207.482
43582.118,3.272,-0.1,-0.006235,,,,,-1207.482
43583.117,3.272,0,-0.006235,,,,,-1207.482
43584.117,3.268,0.1,-0.006235,,,,,-1207.482
43585.119,3.272,-0.1,-0.006235,,,,,-1207.482
43586.12,3.268,-0.1,-0.006235,,,,,-1207.482
43587.122,3.272,0,-0.006235,,,,,-1207.482
43588.112,3.272,0.2,-0.006235,,,,,-1207.482
43589.113,3.272,-0.1,-0.006235,,,,,-1207.482
43590.118,3.268,-0.3,-0.006235,,,,,-1207.482
43591.118,3.272,0.1,-0.006235,,,,,-1207.482
43592.122,3.272,0,-0.006235,,,,,-1207.482
43593.108,3.272,-0.1,-0.006235,,,,,-1207.482
43594.113,3.268,-0.1,-0.006235,,,,,-1207.482
43595.117,3.272,0,-0.006235,,,,,-1207.482
43596.122,3.268,-0.1,-0.006235,,,,,-1207.482
43597.111,3.268,-0.1,-0.006235,,,,,-1207.482
43598.112,3.272,-0.1,-0.006235,,,,,-1207.482
43599.113,3.272,0,-0.006235,,,,,-1207.482
43600.117,3.272,0,-0.006235,,,,,-1207.482
