[2026-01-14 01:27:19.626] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:20.121] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:20.645] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:21.124] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:21.635] V: 4.1480V | I: 0.3000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:22.121] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:22.626] V: 4.1480V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:23.123] V: 4.1480V | I: 0.3000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:23.633] V: 4.1520V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:24.135] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:24.621] V: 4.1480V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:25.123] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:25.620] V: 4.1520V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:26.121] V: 4.1520V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:26.636] V: 4.1520V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:27.130] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:27.634] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:28.126] V: 4.1480V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:28.635] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:29.125] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:29.630] V: 4.1520V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:30.123] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:30.628] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:31.128] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:31.632] V: 4.1520V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:32.126] V: 4.1520V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:32.632] V: 4.1480V | I: 0.4000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:33.121] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:33.625] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:34.130] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:34.620] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:35.131] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:35.624] V: 4.1480V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:36.131] V: 4.1520V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
