time_s,voltage_V,current_A,soc_k,soc_c,state,timestamp
33214.13,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:12:35.205
33215.134,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:12:36.209
33216.13,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:12:37.205
33217.134,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:12:38.209
33218.135,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:12:39.210
33219.14,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:12:40.215
33220.132,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:12:41.207
33221.141,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:12:42.216
33222.144,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:12:43.219
33223.152,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:12:44.227
33224.14,4.148,-0.001,1.0,1.0,CHG,2026-01-20 08:12:45.215
33225.149,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:12:46.224
33226.156,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:12:47.231
33227.159,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:12:48.234
33228.152,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:12:49.227
33229.158,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:12:50.233
33230.153,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:12:51.228
33231.16,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:12:52.235
33232.169,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:12:53.244
33233.165,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:12:54.240
33234.159,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:12:55.234
33235.17,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:12:56.245
33236.176,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:12:57.251
33237.172,4.148,-0.001,1.0,1.0,CHG,2026-01-20 08:12:58.247
33238.179,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:12:59.254
33239.172,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:00.247
33240.181,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:13:01.256
33241.186,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:13:02.261
33242.189,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:03.264
33243.177,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:04.252
33244.182,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:05.257
33245.188,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:13:06.263
33246.184,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:07.259
33247.193,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:08.268
33248.202,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:13:09.277
33249.195,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:10.270
33250.191,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:11.266
33251.2,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:13:12.275
33252.205,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:13:13.280
33253.199,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:13:14.274
33254.205,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:15.280
33255.216,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:13:16.291
33256.209,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:13:17.284
33257.219,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:13:18.294
33258.214,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:13:19.289
33259.222,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:20.297
33260.215,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:21.290
33261.223,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:22.298
33262.217,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:13:23.292
33263.222,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:13:24.297
33264.232,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:13:25.307
33265.225,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:13:26.300
33266.232,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:13:27.307
33267.226,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:28.301
33268.235,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:29.310
33269.231,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:13:30.306
33270.241,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:13:31.316
33271.234,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:32.309
33272.243,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:33.318
33273.251,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:34.326
33274.245,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:35.320
33275.253,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:13:36.328
33276.243,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:37.318
33277.25,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:13:38.325
33278.261,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:13:39.336
33279.263,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:13:40.338
33280.26,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:41.335
33281.259,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:42.334
33282.257,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:43.332
33283.26,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:13:44.335
33284.263,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:13:45.338
33285.262,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:46.337
33286.268,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:47.343
33287.28,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:48.355
33288.273,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:13:49.348
33289.283,4.14,-0.0,1.0,1.0,CHG,2026-01-20 08:13:50.358
33290.278,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:51.353
33291.286,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:52.361
33292.279,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:13:53.354
33293.287,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:13:54.362
33294.283,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:55.358
33295.29,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:56.365
33296.285,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:13:57.360
33297.294,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:13:58.369
33298.287,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:13:59.362
33299.299,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:00.374
33300.292,4.152,0.0,1.0,1.0,CHG,2026-01-20 08:14:01.367
33301.302,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:02.377
33302.296,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:03.371
33303.305,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:04.380
33304.298,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:05.373
33305.308,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:06.383
33306.315,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:07.390
33307.306,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:08.381
33308.311,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:09.386
33309.317,4.152,0.0,1.0,1.0,CHG,2026-01-20 08:14:10.392
33310.324,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:14:11.399
33311.316,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:12.391
33312.327,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:13.402
33313.323,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:14.398
33314.331,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:15.406
33315.325,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:16.400
33316.334,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:17.409
33317.329,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:18.404
33318.336,4.14,-0.0,1.0,1.0,CHG,2026-01-20 08:14:19.411
33319.33,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:20.405
33320.333,4.152,0.0,1.0,1.0,CHG,2026-01-20 08:14:21.408
33321.344,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:22.419
33322.337,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:23.412
33323.343,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:24.418
33324.354,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:14:25.429
33325.346,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:26.421
33326.357,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:27.432
33327.347,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:28.422
33328.358,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:14:29.433
33329.348,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:30.423
33330.358,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:31.433
33331.354,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:32.429
33332.359,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:33.434
33333.37,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:34.445
33334.363,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:35.438
33335.374,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:36.449
33336.366,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:14:37.441
33337.375,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:38.450
33338.368,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:39.443
33339.374,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:40.449
33340.384,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:41.459
33341.376,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:42.451
33342.386,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:43.461
33343.375,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:44.450
33344.386,4.136,0.0,1.0,1.0,CHG,2026-01-20 08:14:45.461
33345.394,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:46.469
33346.384,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:47.459
33347.391,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:48.466
